bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  [BUGGY]  if(index  >=  0)  {  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	334	334	4	add	if(index  >=  0)  {	if  (index  <  0)  {  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	11	4
263	[BUG]  [BUGGY]  if(key  ==  null  ||  key.length  ==  0)  {  [CE]  cannot  find  symbol  length  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]  if(key  ==  null  ||  key.length  ==  0)  {  [BUGGY]  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	if(key  ==  null  ||  key.length  ==  0)  {	if  (key  ==  null)  {  	non-compiled	[CE]  cannot  find  symbol  length	47	None	replace
282	[BUG]  [BUGGY]    this.values.remove(index);  indexMap.remove(index);  [CE]  no  suitable  method  found  for  remove(int)  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]    this.values.remove(index);  indexMap.remove(index);  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	    this.values.remove(index);  indexMap.remove(index);		non-compiled	[CE]  no  suitable  method  found  for  remove(int)	34	None	add
283	[BUG]  [BUGGY]    this.values.clear();  indexMap.remove(index);  [CE]  no  suitable  method  found  for  remove(int)  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]    this.values.clear();  indexMap.remove(index);  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	    this.values.clear();  indexMap.remove(index);		non-compiled	[CE]  no  suitable  method  found  for  remove(int)	34	None	add
285	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]    this.values.clear();  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	add	    this.values.clear();		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	34	4
286	[BUG]  [BUGGY]    this.values.clear();  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]    this.values.clear();  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	    this.values.clear();		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	34	4	add
302	[BUG]  [BUGGY]  this.values.clear();  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]  this.values.clear();  [BUGGY]    [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	this.values.clear();	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
303	[BUG]  [BUGGY]  fireDatasetChanged();  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]  fireDatasetChanged();  [BUGGY]    [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	fireDatasetChanged();	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
304	[BUG]  [BUGGY]  this.indexMap.remove(index);  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]  this.indexMap.remove(index);  [BUGGY]    [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	this.indexMap.remove(index);	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
323	[BUG]  [BUGGY]    DefaultKeyedValues  rowKeys  =(DefaultKeyedValues)this.rows.get(columnKey);  [CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    DefaultKeyedValues  rowKeys  =(DefaultKeyedValues)this.rows.get(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	replace	    DefaultKeyedValues  rowKeys  =(DefaultKeyedValues)this.rows.get(columnKey);		non-compiled	[CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;	20	None	add
325	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    this.columnKeys.remove(columnKey);  this.rows.remove(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	add	    this.columnKeys.remove(columnKey);  this.rows.remove(columnKey);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	20	4
326	[BUG]  [BUGGY]    this.columnKeys.remove(columnKey);  this.rows.remove(columnKey);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    this.columnKeys.remove(columnKey);  this.rows.remove(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	replace	    this.columnKeys.remove(columnKey);  this.rows.remove(columnKey);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	20	4	add
344	[BUG]  [BUGGY]    this.values.clear();  indexMap.remove(index);  [CE]  no  suitable  method  found  for  remove(int)  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]    this.values.clear();  indexMap.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	    this.values.clear();  indexMap.remove(index);		non-compiled	[CE]  no  suitable  method  found  for  remove(int)	8	None	add
345	[BUG]  [BUGGY]    this.values.remove(index);  fireDatasetChanged();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]    this.values.remove(index);  fireDatasetChanged();  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	    this.values.remove(index);  fireDatasetChanged();		non-compiled	[CE]  cannot  find  symbol	8	None	add
362	[BUG]  [BUGGY]  indexMap.remove(index);  [CE]  no  suitable  method  found  for  remove(int)  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  [BUGGY]  indexMap.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	337	337	4	replace	indexMap.remove(index);	removeValue(index);  	non-compiled	[CE]  no  suitable  method  found  for  remove(int)	13	None	replace
381	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    this.keys.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	add	    this.keys.remove(key);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	10	4
382	[BUG]  [BUGGY]    this.keys.remove(key);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    this.keys.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    this.keys.remove(key);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	10	4	add
383	[BUG]  [BUGGY]    Validate.notEmpty(key);  this.values.remove(key);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    Validate.notEmpty(key);  this.values.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    Validate.notEmpty(key);  this.values.remove(key);		non-compiled	[CE]  cannot  find  symbol  Validate	10	None	add
385	[BUG]  [BUGGY]    DefaultKeyedValues.remove(key);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    DefaultKeyedValues.remove(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    DefaultKeyedValues.remove(key);		non-compiled	[CE]  cannot  find  symbol	10	None	add
402	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]    this.indexMap.clear();  [BUGGY]  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	add	    this.indexMap.clear();		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	2	2
403	[BUG]  [BUGGY]    this.indexMap.clear();  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]    this.indexMap.clear();  [BUGGY]  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	    this.indexMap.clear();		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	2	2	add
404	[BUG]  [BUGGY]    Validate.notNull(index);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]    Validate.notNull(index);  [BUGGY]  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	    Validate.notNull(index);		non-compiled	[CE]  cannot  find  symbol  Validate	2	None	add
405	[BUG]  [BUGGY]    this.indexmap.remove(index);  [CE]  cannot  find  symbol  indexmap  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]    this.indexmap.remove(index);  [BUGGY]  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	    this.indexmap.remove(index);		non-compiled	[CE]  cannot  find  symbol  indexmap	2	None	add
422	[BUG]  [BUGGY]  this.rows.remove(rowData.getRowIndex());  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  [BUGGY]  this.rows.remove(rowData.getRowIndex());  [BUGGY]  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	459	459	4	replace	this.rows.remove(rowData.getRowIndex());	}  	non-compiled	[CE]  illegal  start  of  expression	27	None	replace
423	[BUG]  [BUGGY]  this.columnKeys.remove(columnKey);  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  [BUGGY]  this.columnKeys.remove(columnKey);  [BUGGY]  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	459	459	4	replace	this.columnKeys.remove(columnKey);	}  	non-compiled	[CE]  illegal  start  of  expression	27	None	replace
